image_id,variant,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
252219,advlogo_eps0.09_iter3,0.28571428571428575,0.25000000000000006,0.9999755,70.92396183070534,0.9999973773956299,0.9999983906745911,9.969677921617404e-05,2.0265579223632812e-06,3903,4.6468762e-05,1.9369694200577214e-05,2.0225998014211655e-05,2.0829173081438057e-05
87038,advlogo_eps0.09_iter6,0.25568181818181823,0.25275482093663915,0.9999294,66.30232541181294,0.9999908804893494,0.9999933838844299,0.0008374570170417428,3.6656856536865234e-05,9380,0.00011948208,5.3852450946578756e-05,5.197690916247666e-05,5.489787145052105e-05
174482,advlogo_eps0.09_iter3,0.5272727272727273,0.47159090909090917,0.9999897,70.13260071578871,0.999998927116394,0.999998927116394,4.147329309489578e-05,1.7881393432617188e-06,4100,5.0091752e-05,2.1430523702292703e-05,2.1248701159493066e-05,2.219625275756698e-05
480985,advlogo_eps0.09_iter6,0.1272727272727273,0.12424242424242427,0.99992496,64.84343806366341,0.9999922513961792,0.9999934434890747,0.00036406193976290524,1.5497207641601562e-05,13643,0.00016970828,7.285648462129757e-05,7.225075387395918e-05,7.681825081817806e-05
296649,advlogo_eps0.09_iter1,0.21590909090909094,0.19512987012987015,0.9999974,84.34214454820574,0.9999997019767761,1.0,5.1076763156743255e-06,3.5762786865234375e-07,170,2.1115038e-06,8.76346462064248e-07,1.067092057382979e-06,9.129929594564601e-07
386912,advlogo_eps0.09_iter2,0.14285714285714288,0.12500000000000003,0.9999934,77.00891408052533,0.9999992847442627,0.999999463558197,1.4653668586106505e-05,8.940696716308594e-07,965,1.1533697e-05,5.095708729641046e-06,4.913761586067267e-06,5.105147010908695e-06
348881,advlogo_eps0.09_iter3,0.13636363636363638,0.1090909090909091,0.999983,74.36436644415915,0.9999980926513672,0.9999979734420776,0.00011068049934692681,1.3172626495361328e-05,1790,2.1284024e-05,8.926391274144407e-06,9.243286513083149e-06,9.559578757034615e-06
522713,advlogo_eps0.09_iter3,0.2551136363636364,0.20909090909090908,0.9999834,74.25440403352107,0.9999980330467224,0.9999986886978149,7.937092595966533e-05,1.6808509826660156e-05,1704,2.0942416e-05,9.206210052070674e-06,9.311582289228681e-06,9.529425369692035e-06
181666,advlogo_eps0.09_iter12,0.16363636363636366,0.15909090909090912,0.99979216,62.161845244971246,0.9999753832817078,0.9999841451644897,0.00227152812294662,8.928775787353516e-05,31373,0.00035882683,0.00014277534501161426,0.0001390012475894764,0.00015665937098674476
17627,advlogo_eps0.09_iter3,0.4318181818181819,0.40909090909090917,0.9999744,74.83101560263052,0.9999964237213135,1.0,0.00018495858239475638,5.0067901611328125e-06,1445,1.803069e-05,8.160654033417813e-06,8.256425644503906e-06,8.159363460435998e-06
143931,advlogo_eps0.09_iter6,1.0000000000000002,0.6666666666666669,0.9999073,67.52142887984544,0.9999868273735046,0.9999949336051941,0.0003841930301859975,0.00010573863983154297,7654,9.561028e-05,4.3005715269828215e-05,4.26883198088035e-05,4.393609560793266e-05
303818,advlogo_eps0.09_iter3,0.3068181818181819,0.2928321678321679,0.99999183,72.4761537987501,0.999998927116394,0.9999991655349731,2.685405343072489e-05,1.9669532775878906e-06,2466,3.0209243e-05,1.3518528248823714e-05,1.2588806384883355e-05,1.3370931810641196e-05
463730,advlogo_eps0.09_iter2,0.33603896103896114,0.32575757575757575,0.9999853,75.06536693724318,0.9999980926513672,0.9999996423721313,4.969241126673296e-05,4.1484832763671875e-05,1020,1.3941147e-05,6.6893039729620796e-06,6.424655566661386e-06,6.255430434976006e-06
460347,advlogo_eps0.09_iter13,0.5000000000000001,0.25000000000000006,0.9998328,63.624322533375654,0.9999791979789734,0.999988853931427,0.0005780477076768875,5.555152893066406e-05,18972,0.00023286202,0.00010198487871093675,9.821268758969381e-05,0.0001031160936690867
322864,advlogo_eps0.09_iter4,0.5757575757575758,0.44090909090909103,0.9999526,68.91710524174836,0.9999949336051941,0.9999972581863403,0.00022108513803686947,1.5020370483398438e-05,5380,6.7826695e-05,3.0462166250799783e-05,3.0462259019259363e-05,3.105881478404626e-05
308394,advlogo_eps0.09_iter6,0.1666666666666667,0.14285714285714288,0.99989384,69.48222523920154,0.9999880790710449,0.9999949932098389,0.0009975857101380825,2.676248550415039e-05,5820,6.625953e-05,2.6515517674852163e-05,2.740582021942828e-05,2.664871499291621e-05
456496,advlogo_eps0.09_iter19,0.20000000000000004,0.1666666666666667,0.99992234,64.98823441309894,0.9999904036521912,0.9999949932098389,0.00010770029621198773,3.5703182220458984e-05,18785,0.00020203438,8.073372737271711e-05,6.614270387217402e-05,8.194953989004716e-05
184321,advlogo_eps0.09_iter1,0.5000000000000001,0.3333333333333334,0.99999636,83.8934364007549,0.9999995231628418,0.9999997615814209,2.274459257023409e-05,1.0192394256591797e-05,196,2.3729838e-06,9.554573807690758e-07,1.1934349686271162e-06,9.899861197482096e-07
565778,advlogo_eps0.09_iter10,0.25000000000000006,0.20000000000000004,0.99986833,59.849982491410856,0.999983549118042,0.9999849796295166,0.00038556003710255027,8.440017700195312e-05,32186,0.00044468732,0.00020396742911543697,0.00019976525800302625,0.0002100450365105644
418281,advlogo_eps0.09_iter1,0.1666666666666667,0.14285714285714288,0.99999934,88.4186314320944,0.9999998807907104,0.9999997615814209,1.0949756870104466e-06,1.6689300537109375e-06,73,8.8121067e-07,3.1851035942054295e-07,3.960477670261753e-07,4.241418309902656e-07
