image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
397133,advlogo_eps0.9_iter129,129,0.066666667,0,0.9493032,35.15656705,0.990222454,0.994771063,0.109381035,0.024823189,397494,0.016586415,0.008295269,0.008289496,0.008263826
252219,advlogo_eps0.9_iter63,63,0.25,0,0.9573187,35.913942,0.994629264,0.994967222,0.107540637,0.01874578,399013,0.01772739,0.008412811,0.009152088,0.009292072
87038,advlogo_eps0.9_iter15,15,0.172727273,0,0.99023086,43.16742564,0.998730898,0.998386383,0.035992719,0.008577824,257329,0.006088509,0.002957338,0.00298765,0.002960298
174482,advlogo_eps0.9_iter96,96,0.545454545,0,0.9722734,35.34162748,0.99597919,0.995355248,0.073425829,0.012306809,385540,0.015253574,0.007581288,0.00762981,0.007664955
480985,advlogo_eps0.9_iter5,5,0.289772727,0,0.996672,48.05842241,0.999638259,0.999583125,0.019750543,0.001587093,190570,0.003425064,0.00160636,0.001616966,0.001620183
296649,advlogo_eps0.9_iter127,127,0.376456876,0,0.93878955,34.08440615,0.989813447,0.993090272,0.124998592,0.021193385,402653,0.021428866,0.010968158,0.010888845,0.011097532
386912,advlogo_eps0.9_iter45,45,0.111111111,0,0.97189784,38.10472936,0.995977044,0.996824324,0.082255036,0.009741426,395065,0.014061524,0.00706753,0.007058567,0.007162821
348881,advlogo_eps0.9_iter3,3,0.257575758,0,0.9971835,51.54890596,0.999650657,0.999689281,0.017049992,0.005482495,126956,0.001988357,0.000928766,0.000916684,0.00092105
522713,advlogo_eps0.9_iter1,1,0.198863636,0,0.99931496,57.06894348,0.999910831,0.999937057,0.001831471,0.001008093,28312,0.000471736,0.000220737,0.00022247,0.000222822
181666,advlogo_eps0.9_iter8,8,0.240909091,0,0.99284583,45.52118322,0.999305129,0.998885393,0.020653777,0.008360207,271885,0.005406992,0.002551116,0.002475684,0.002573694
17627,advlogo_eps0.9_iter18,18,0.545454545,0,0.9832471,41.36684801,0.997741699,0.997871518,0.063587993,0.012867928,353039,0.009025436,0.004434912,0.004430785,0.00449539
143931,advlogo_eps0.9_iter5,5,0.5,0,0.9958692,49.82994993,0.999356627,0.999643326,0.014463129,0.004370928,114762,0.002047164,0.000970318,0.000970412,0.000964355
303818,advlogo_eps0.9_iter40,40,0.375757576,0,0.98203754,38.14124635,0.997115254,0.996430755,0.045359138,0.008013964,317980,0.010472191,0.005196673,0.005202866,0.005171376
463730,advlogo_eps0.9_iter17,17,0.216056671,0,0.98653764,42.65586153,0.99818486,0.99878937,0.040544517,0.01166594,314673,0.007423447,0.003628426,0.003596856,0.003634161
460347,advlogo_eps0.9_iter75,75,0.666666667,0,0.9713505,36.68672101,0.995657802,0.993683517,0.060082961,0.022113323,355441,0.012028708,0.005860031,0.005926778,0.005869691
322864,advlogo_eps0.9_iter10,10,0.602272727,0,0.98881865,45.40871245,0.998623967,0.999052048,0.060812894,0.00822562,251515,0.00501459,0.002449424,0.002442867,0.00242732
308394,advlogo_eps0.9_iter13,13,0.125,0,0.9808581,45.61555558,0.997586191,0.998173773,0.100119486,0.012706995,269232,0.005119023,0.002427995,0.002294149,0.002356687
456496,advlogo_eps0.9_iter6,6,0.2,0,0.9955113,47.89276403,0.999464512,0.999356151,0.017100956,0.007269263,217268,0.003648178,0.001684275,0.001677841,0.001699986
184321,advlogo_eps0.9_iter8,8,1,0,0.9943481,47.14173634,0.999205232,0.999087334,0.016497323,0.006499887,173138,0.003292691,0.001550271,0.001554242,0.001567089
565778,advlogo_eps0.9_iter84,84,0.515151515,0,0.9708182,35.84829513,0.99496907,0.99649781,0.052892968,0.0296368,393519,0.015326053,0.007617621,0.007582677,0.007726765
418281,advlogo_eps0.9_iter1,1,0.272727273,0,0.9993991,57.25143401,0.999926329,0.999952674,0.001948772,0.002573848,33093,0.000545796,0.000261989,0.000258045,0.000260917
